;0;1;2;3;4;5;6;7;8;9
1;electricity;use;natural;fuel;source;travel;factor;renewable;greenhouse;office
2;regency;million;investment;share;market;center;income;lease;shareholder;venture
3;centre;hammerson;retail;shopping;number;park;france;female;positive;male
4;goal;reduction;achieve;efficiency;target;progress;sustainable;commitment;greenhouse;track
5;scope;like;intensity;metric;reduction;control;mtco;electricity;landlord;coverage
6;center;simon;wellness;shopping;mall;tree;station;healthy;health;say
7;outlet;cost;carey;increase;centers;value;good;factory;people;do
8;page;approach;disclosure;organization;material;reporting;content;topic;aspect;indicator
9;issue;supplier;design;plan;local;target;develop;strategy;review;engage
10;training;health;safety;associate;manager;time;leadership;professional;education;hour
11;apartment;california;home;houston;hotel;york;street;francisco;resident;office
12;recycle;recycling;landfill;material;construction;site;compost;paper;use;rate
13;leed;certification;certify;star;gold;green;exist;design;silver;process
14;real;estate;green;realty;award;industry;global;sustainable;good;practice
15;square;foot;office;hall;street;million;charter;benefit;plan;value
16;board;committee;director;policy;executive;conduct;ethic;code;officer;member
17;solar;lighting;instal;roof;system;power;efficient;saving;efficiency;light
18;assurance;verification;information;statement;review;cventure;level;limited;perform;meter
19;risk;climate;relate;process;identify;strategy;investment;organization;assess;response
20;local;volunteer;organization;time;school;event;partner;foundation;help;resident
